[s];[km];[km];[km];[m/s];[m/s];[m/s];[m/s];[-];[m/s2];[m/s2];[m/s2];[km];[km];[km];[km];[deg];[deg];[-];[-];[-];[m];[deg];[deg];[deg];[deg];[Nm];[Nm];[deg];[deg];[deg];[deg];[kg];[m];[kgm2];[kgm2];[deg/s];[deg/s];[deg/s];[km];[kPa];[g];[g];[g];[deg];[deg];[deg];[deg];[deg];[deg];[deg];[deg];[km];[s];[m/s];[m/s];[m/s];[-];[deg];[deg];[deg/s];[deg/s];[deg/s];[m/s];[m/s];[m/s];[rad];[rad];[rad];[-]
t;xup;yeast;znorth;vr;vxup;vyeast;vznorth;mach;axup;ayeast;aznorth;iipeast;iipnorth;iiprange;range;long;lat;Cd;cnalfa;cmq;xcp;alfa;beta;uy;uz;smomy;smomz;epsilon;delta;gamma;chi;mass;xcm;ix;iy;wx;wy;wz;alt;dynpress;nx;ny;nz;phi;theta;psi;phim;thetam;psim;dy;dz;instapo;tip;windup;windeast;windnorth;cmdelta;refatty;refattz;wxims;wyims;wzims;vx_incr;vy_incr;vz_incr;wz_incr;wy_incr;wx_incr;autp
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.5000;0.0078;-0.0000;0.0003;34.3293;34.3016;-0.1917;1.3643;0.1013;65.3269;-0.4201;3.0010;0.0000;0.0000;0.0000;0.0003;21.1069;67.8933;0.3697;18.0013;1231.8309;0.4729;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2615.3200;1.2381;129.6680;19742.2805;0.0039;0.0002;0.0014;0.3418;0.6975;7.6528;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
0.6000;0.0116;-0.0001;0.0005;41.8275;41.7938;-0.2336;1.6623;0.1235;64.8505;-0.4174;2.9820;0.0000;0.0000;0.0000;0.0005;21.1069;67.8933;0.3653;18.0235;1232.3401;0.4715;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2607.5500;1.2463;129.5250;19691.5811;0.0039;0.0002;0.0014;0.3456;1.0351;7.6043;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
0.7000;0.0161;-0.0001;0.0006;49.2779;49.2382;-0.2752;1.9584;0.1455;64.3700;-0.4148;2.9629;0.0000;0.0000;0.0000;0.0006;21.1069;67.8933;0.3609;18.0455;1232.8462;0.4700;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2599.7800;1.2545;129.3820;19640.9057;0.0039;0.0002;0.0014;0.3501;1.4360;7.5554;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
0.8000;0.0214;-0.0001;0.0009;56.6800;56.6343;-0.3166;2.2525;0.1674;63.8856;-0.4120;2.9436;0.0000;0.0000;0.0000;0.0009;21.1069;67.8933;0.3565;18.0674;1233.3491;0.4686;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2592.0100;1.2626;129.2390;19590.2543;0.0039;0.0002;0.0014;0.3554;1.8989;7.5061;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
0.9000;0.0275;-0.0002;0.0011;64.0334;63.9818;-0.3576;2.5448;0.1891;63.3974;-0.4093;2.9242;0.0000;0.0000;0.0000;0.0011;21.1069;67.8933;0.3522;18.0891;1233.8488;0.4672;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2584.2400;1.2708;129.0960;19539.6266;0.0039;0.0002;0.0014;0.3615;2.4220;7.4564;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
1.0000;0.0342;-0.0002;0.0014;70.7650;70.7070;-0.3986;2.8350;0.2090;62.9069;-0.4062;2.9022;-1.7599;0.0427;1.7604;0.0014;21.1069;67.8933;0.3482;18.1090;1234.3064;0.4659;0.0193;-0.0001;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.6814;-8.0039;2576.4700;1.2790;128.9530;19489.0227;1.2403;0.0119;0.0014;0.3682;2.9561;7.4064;0.0000;-0.0002;8.0420;-2.2769;-0.3202;0.0000;0.0000;0.0000;0.0000;0.0000;0.2880;14.8264;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
1.1000;0.0416;-0.0002;0.0017;77.0382;76.9736;-0.4394;3.1228;0.2275;62.4141;-0.4028;2.8779;-1.7612;0.0514;1.7619;0.0017;21.1069;67.8933;0.3445;18.1275;1234.7330;0.4647;0.0478;-0.0002;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.6539;-8.0102;2568.7000;1.2873;128.8100;19438.4424;3.5594;0.0097;0.0013;0.3756;3.5008;7.3563;0.0000;-0.0005;8.2795;-2.2759;-0.3200;0.0000;0.0000;0.0000;0.0000;0.0000;0.3423;16.1534;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
1.2000;0.0496;-0.0003;0.0020;83.3054;83.2342;-0.4802;3.4099;0.2461;62.7870;-0.4042;2.8880;-1.7625;0.0609;1.7636;0.0020;21.1069;67.8933;0.3408;18.1461;1235.1592;0.4635;0.0716;0.0003;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.6309;-8.0159;2561.0857;1.2962;128.5871;19383.8679;6.1209;0.0053;0.0012;0.3836;4.0903;7.3942;-0.0000;-0.0009;8.7612;-2.2751;-0.3199;0.0000;0.0000;0.0000;0.0000;0.0000;0.4013;17.4783;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
1.3000;0.0582;-0.0003;0.0023;89.6099;89.5321;-0.5211;3.6981;0.2647;63.1615;-0.4056;2.8985;-1.7640;0.0712;1.7655;0.0024;21.1069;67.8933;0.3371;18.1647;1235.5882;0.4623;0.0913;0.0015;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.6114;-8.0212;2553.4714;1.3051;128.3643;19329.3301;8.9144;-0.0015;0.0013;0.3922;4.7287;7.4324;-0.0000;-0.0013;9.5107;-2.2749;-0.3199;0.0000;0.0000;0.0000;0.0000;0.0000;0.4651;18.8098;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
1.4000;0.0675;-0.0004;0.0027;95.9521;95.8675;-0.5622;3.9873;0.2835;63.5378;-0.4072;2.9097;-1.7657;0.0823;1.7676;0.0028;21.1069;67.8933;0.3333;18.1835;1236.0198;0.4611;0.1072;0.0037;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.5948;-8.0262;2545.8571;1.3141;128.1414;19274.8286;11.9265;-0.0112;0.0016;0.4015;5.4167;7.4707;-0.0001;-0.0018;10.5506;-2.2756;-0.3200;0.0000;0.0000;0.0000;0.0000;0.0000;0.5340;20.1483;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
